Season,Player,3P,Tm,W,L
2018-19,James Harden,378,HOU,53,29
2017-18,James Harden,265,HOU,65,17
2016-17,Stephen Curry,324,GSW,67,15
2015-16,Stephen Curry,402,GSW,73,9
2014-15,Stephen Curry,286,GSW,67,15
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,